id,user_id,model_id,function_name,input_tokens,output_tokens,embedding_tokens,estimated_cost,created_at
800be789-756d-4a26-af22-686de7e1a3fe,7c82547b-708e-42bb-bd07-56b3994fa160,6845d211-ccc4-47b6-936d-6b9af7428791,agent-conversation-chat,70,228,0,0.000000,2026-03-06 13:34:57.195185+00
b085aeed-8ec9-42ba-98cf-7a5d477ba454,7c82547b-708e-42bb-bd07-56b3994fa160,6845d211-ccc4-47b6-936d-6b9af7428791,agent-conversation-chat,84,401,0,0.000000,2026-03-06 14:12:24.957476+00
abcb27e9-ae2a-4eb1-9ee5-a0f59c002e45,7c82547b-708e-42bb-bd07-56b3994fa160,6845d211-ccc4-47b6-936d-6b9af7428791,agent-conversation-chat,100,962,0,0.000000,2026-03-10 06:57:00.995494+00
89fbd1e2-dba6-402c-be7d-fd0b20999ff9,7c82547b-708e-42bb-bd07-56b3994fa160,6845d211-ccc4-47b6-936d-6b9af7428791,agent-conversation-chat,210,908,0,0.000000,2026-03-10 07:14:04.053573+00
38b23a64-88cd-496c-b644-8cdf24b2f251,7c82547b-708e-42bb-bd07-56b3994fa160,6845d211-ccc4-47b6-936d-6b9af7428791,agent-conversation-chat,211,381,0,0.000000,2026-03-10 07:25:29.959911+00
e393478f-e274-412c-87ad-a2e9083871a4,,,ai-chat,1,9,0,0.000000,2026-05-05 16:13:39.013025+00
a8b77835-f41c-4eec-a35c-8a9eed21ea3d,,,ai-chat,364,123,0,0.000000,2026-05-05 16:20:07.854398+00
4ca4250a-b5b2-4161-96ce-f9840ff938ea,,6845d211-ccc4-47b6-936d-6b9af7428791,ai-chat-assistant,26,4,0,0.000000,2026-06-15 21:08:44.065639+00
e1481b5f-465f-4516-b0f3-3e3119b13104,,,generate-meeting-summary-v2,349,203,0,0.000000,2026-06-15 22:08:01.506299+00
26c17ddf-e839-4a3c-98c2-d3833db9c20f,,,generate-meeting-summary-v2,332,185,0,0.000000,2026-06-15 22:09:22.811724+00
09c74ca8-5133-4b34-89e2-50658dce01b3,,,event-intelligence,320,118,0,0.000000,2026-06-15 22:31:03.386116+00
7a7504b0-5bf4-4081-bd56-e64a23194f2e,,,generate-meeting-summary-v2,308,292,0,0.000000,2026-06-15 22:31:07.439482+00
8a2a7767-6d6b-4bb5-b7ca-78c2bc637c71,,,generate-meeting-summary-v2,314,129,0,0.000000,2026-06-15 22:31:17.339168+00
9f76ed32-5db5-49ce-aaea-61b80d0339f9,,,event-intelligence,319,135,0,0.000000,2026-06-15 22:31:23.496144+00
ebb22855-b0e6-4767-b219-26c66895c849,,,generate-meeting-summary-v2,1691,682,0,0.000000,2026-06-15 22:31:51.233808+00
4960abe6-c247-4bc5-ad9b-d319e7bff40f,,,generate-meeting-summary-v2,314,127,0,0.000000,2026-06-15 22:39:19.639588+00
8b029b7e-1b32-4ffd-9ba8-24749667216f,,,event-intelligence,319,135,0,0.000000,2026-06-15 22:39:23.718589+00
41928e43-351d-459d-95c4-38b24b83fb85,,,generate-meeting-summary-v2,1691,676,0,0.000000,2026-06-15 22:40:25.092639+00
ae90c947-bd34-40d0-b13a-f09a9786a44a,,,generate-meeting-summary-v2,307,188,0,0.000000,2026-06-16 20:15:31.915283+00
efc3a7e5-d541-4fae-bf36-a3d8cd8a39ed,,,generate-meeting-summary-v2,1691,679,0,0.000000,2026-06-17 21:27:46.264434+00
24aa9224-3b64-4037-8b83-16c9b7af3157,,,generate-meeting-summary-v2,314,129,0,0.000000,2026-06-18 09:05:33.209093+00
0c963e69-3dc7-421e-aeb5-79abba5bcc95,,,event-intelligence,319,124,0,0.000000,2026-06-18 09:05:41.118995+00
007cd821-e54b-45c2-9c26-d66a3b85efd8,,,generate-meeting-summary-v2,314,129,0,0.000000,2026-06-18 09:06:00.57813+00
894af965-391b-4690-a1d3-dbc083b5996a,,,event-intelligence,319,128,0,0.000000,2026-06-18 09:06:04.59754+00
e91cc8e5-6bde-4f6c-b3f2-a18e9c58b2bf,,,generate-meeting-summary-v2,1691,678,0,0.000000,2026-06-18 09:54:26.352943+00
26574e85-ccf1-4605-991e-b74196991922,,,generate-meeting-summary-v2,1691,662,0,0.000000,2026-06-18 10:26:32.446412+00
