id,event_id,tier,price,capacity,sold,created_at
61e9854d-b3fb-4e63-9d9c-399474c6686a,2bb45d4f-1bc2-40dd-b956-d7c97800221f,VIP Table (10 seats),5000,10,8,2026-05-24 21:02:42.495869+00
738ba2b3-2b14-4de5-a1b5-7683d47119ac,2bb45d4f-1bc2-40dd-b956-d7c97800221f,Individual Gala Ticket,250,200,178,2026-05-24 21:02:42.495869+00
4e2b33f2-379e-4107-8e84-194ff3769942,2bb45d4f-1bc2-40dd-b956-d7c97800221f,Young Professional,125,40,34,2026-05-24 21:02:42.495869+00
21ea5163-6737-4717-87ec-9e3cd74fb647,155e77c9-3d51-4e1f-bbc8-463fd68c4230,Student (Free),0,150,87,2026-05-24 21:02:42.495869+00
a1720964-cbdf-48a2-a5ec-45dfccbe7c7e,155e77c9-3d51-4e1f-bbc8-463fd68c4230,Chaperone / Staff,25,50,22,2026-05-24 21:02:42.495869+00
bbd1ed15-bdda-45ce-8176-e8c77d8e9bea,10084594-789d-4d15-89e9-a39949dcc0c7,Free,0,20,18,2026-06-15 17:02:18.692737+00
2b941c73-709c-4f05-87d3-31f2d68080f4,10084594-789d-4d15-89e9-a39949dcc0c7,General Admission,75,130,75,2026-06-15 17:02:18.692737+00
85c8c9e1-8415-42dc-8721-6df797f00a41,10084594-789d-4d15-89e9-a39949dcc0c7,VIP,250,50,19,2026-06-15 17:02:18.692737+00
e2d3f145-18c0-4804-8417-f7a315a19c1b,51299673-f35b-43a3-8dd1-955ab7af82ff,Free,0,80,67,2026-06-15 17:02:18.692737+00
67c30753-4584-4ca2-8fc3-598b177aea55,886a4c37-21b9-4140-8820-eeb8221ac9e8,Free,0,100,80,2026-06-15 17:02:18.692737+00
9e3bde44-c56e-49f9-85c6-83c3382d54c4,886a4c37-21b9-4140-8820-eeb8221ac9e8,General Admission,0,50,18,2026-06-15 17:02:18.692737+00
428aa5a4-dae9-43e6-8222-e694b73f6470,468e3db5-3070-4ea4-8347-5666a1a7d1f0,General Admission,150,80,68,2026-06-15 17:02:18.692737+00
498439ef-d49f-49bd-8ac1-e9ed21528392,468e3db5-3070-4ea4-8347-5666a1a7d1f0,VIP,350,40,35,2026-06-15 17:02:18.692737+00
86883a12-7bbc-4a01-886e-6024f8a0241b,468e3db5-3070-4ea4-8347-5666a1a7d1f0,Member-Only,100,30,17,2026-06-15 17:02:18.692737+00
8d0ed3f5-d044-4cf9-8727-e2e9a7c9a88f,ecfbc23f-19d5-4958-84fa-2b66afad41e3,Member-Only,0,25,22,2026-06-15 17:02:18.692737+00
