id,role,resource_type,resource_key,granted,created_at
860e4c3f-8ab4-4de3-b7fc-71437edcdb32,executive_director,module,data-health,t,2026-05-06 16:38:11.509346+00
747a71f1-4676-4c6a-9aa6-421d2952de2c,executive_director,module,grants,t,2026-05-06 16:38:11.509346+00
dcbc72b7-51c9-41ec-80b2-d99244e253dc,executive_director,module,events,t,2026-05-06 16:38:11.509346+00
1dab693e-52a3-4648-aa63-6a44bc10147d,executive_director,module,board-reports,t,2026-05-06 16:38:11.509346+00
9b66c961-dabf-4c53-927e-e15ef1cf1ab3,executive_director,module,reconciliation,t,2026-05-06 16:38:11.509346+00
56fbf2ab-6cc5-4b01-874f-fda6f3e2469e,executive_director,module,donor-pipeline,t,2026-05-06 16:38:11.509346+00
7e82c009-f5dd-4bd5-9086-2ecd210c06fd,executive_director,module,business-dev,t,2026-05-06 16:38:11.509346+00
86fcb2f5-3003-4ccf-821b-9da1a93d89ca,executive_director,module,meetings,t,2026-05-06 16:38:11.509346+00
8f979824-8493-48fd-ac9e-4e5150b766b4,executive_director,module,knowledge,t,2026-05-06 16:38:11.509346+00
915d6c26-2f31-411d-841b-16203b1ee120,executive_director,module,actions,t,2026-05-06 16:38:11.509346+00
f0af293e-2fab-427e-9f2a-2caa75d8e000,executive_director,module,projects,t,2026-05-06 16:38:11.509346+00
f16f8d0f-5fe8-466a-9449-1e047158a714,executive_director,module,ai-agents,t,2026-05-06 16:38:11.509346+00
349d70bf-42a7-4348-9be6-63fe5913b791,executive_director,module,ai-chat,t,2026-05-06 16:38:11.509346+00
9742bb01-a60a-4838-aae1-bc23b060c938,executive_director,module,voice-notes,t,2026-05-06 16:38:11.509346+00
ed7990e3-8040-4249-916a-69d656b4faa7,executive_director,agent,crm-data-integrity,t,2026-05-06 16:38:11.509346+00
e5c6a881-dead-4f83-b271-2f4dfd1df160,executive_director,agent,reconciliation-fund-accounting,t,2026-05-06 16:38:11.509346+00
685dfae2-04e3-4ea1-9942-5ce9940d4445,executive_director,agent,grant-compliance,t,2026-05-06 16:38:11.509346+00
7be47c03-f6d9-4465-9174-86dc97198810,executive_director,agent,event-intelligence,t,2026-05-06 16:38:11.509346+00
7febac59-5462-41c5-9dce-21d58e25665c,executive_director,agent,board-reporting,t,2026-05-06 16:38:11.509346+00
7ed3e575-5ebb-4bc0-ab66-4382a157ace9,executive_director,agent,quick-email,t,2026-05-06 16:38:11.509346+00
23d0d896-b198-44cc-854e-b8055aa1f971,executive_director,agent,deal-ai-chat,t,2026-05-06 16:38:11.509346+00
9c157bac-beed-4ecb-8ce1-152cb7ff25c0,executive_director,agent,upgrade-spotter,t,2026-05-06 16:38:11.509346+00
38db9331-1f1e-409a-970c-f7ff2c463cc0,executive_director,agent,event-converter,t,2026-05-06 16:38:11.509346+00
6caf8edf-0fe2-43bc-a10a-9e53d4b4a773,executive_director,agent,meeting-summarizer,t,2026-05-06 16:38:11.509346+00
c8908ac4-a0f9-498b-a810-4f9f833441a9,executive_director,agent,action-extractor,t,2026-05-06 16:38:11.509346+00
d41dc772-5488-483e-92de-3b8ce2e957bb,executive_director,agent,client-call-analyzer,t,2026-05-06 16:38:11.509346+00
4ea72fba-99fe-4d56-b5ed-0e5015e35fdd,executive_director,agent,efficiency-analyzer,t,2026-05-06 16:38:11.509346+00
21be2901-2f95-41f3-8ec3-137388facf05,executive_director,agent,pod-health,t,2026-05-06 16:38:11.509346+00
1464f078-a1d2-454f-bc11-8265996f3b49,executive_director,agent,project-analyst,t,2026-05-06 16:38:11.509346+00
3526d733-da5d-4dfd-b595-605edba3b0f9,executive_director,agent,bug-feature-planner,t,2026-05-06 16:38:11.509346+00
e95676b2-7d88-4de6-a748-602adf671c05,executive_director,agent,technical-planner,t,2026-05-06 16:38:11.509346+00
0d29c5db-608a-4dc5-8f82-7be932c61625,executive_director,agent,grant-budget-watcher,t,2026-05-06 16:38:11.509346+00
86113691-6322-4d6e-9e51-842e93c01e00,executive_director,agent,integration-health-monitor,t,2026-05-06 16:38:11.509346+00
56f8f466-24e0-4255-ad41-3f2c74870b93,executive_director,agent,onboarding-checklist-ai,t,2026-05-06 16:38:11.509346+00
0a4b5ee1-b51b-4a73-9e97-817b4961ce41,development_director,module,business-dev,t,2026-05-06 16:38:11.509346+00
